x,y,z,vx,vy,vz,m,id
-9.82E-02,-5.28E-02,1.18E-02,0.41640195,0.20166914,0.54219115,1.56E-05,107
-0.11308241,-6.05E-02,-0.78928137,-0.40290058,-0.600474,0.79199213,1.56E-05,108
-1.4572583,-0.65427703,1.0689412,-0.30071178,0.16033375,-0.49747601,1.56E-05,109
9.05E-02,0.34433371,4.98E-02,-3.51E-03,-0.25588521,0.24043493,1.56E-05,110
2.0727623,-1.0201243,1.2395095,2.59E-02,-0.31013453,-0.1593675,1.56E-05,111
-1.5368557,-1.0364949,-1.879793,-0.22245729,2.52E-03,0.24338908,1.56E-05,112
0.21722879,0.26393801,0.10360141,0.80767733,0.76593447,0.37113866,1.56E-05,113
-0.18541226,7.58E-02,0.12885013,0.5992223,1.3662769,-2.35E-02,1.56E-05,114
-0.2614108,0.11935681,4.26E-02,-0.41190943,-5.40E-02,8.92E-02,1.56E-05,115
-5.69E-02,3.23E-02,-0.21543704,-0.47192281,0.98024768,0.80021816,1.56E-05,116
0.91725105,1.5776324,0.47349632,-0.27559221,0.1478335,0.39373079,1.56E-05,117
0.18764989,0.45230022,0.29370576,0.36616039,-0.49516928,-4.15E-03,1.56E-05,118
0.28861406,0.24361596,3.92E-02,0.42033991,-0.63555408,-0.29929683,1.56E-05,119
-0.689138,-1.4811603,2.3298178,-9.85E-02,3.45E-02,-6.43E-02,1.56E-05,120
-1.98E-02,-0.91438162,-1.2091002,0.15955073,-0.38365671,0.30889621,1.56E-05,121
-0.33401698,-0.42868578,-0.18856236,0.27299055,0.53854507,-0.62794918,1.56E-05,122
-2.26E-02,-0.13854024,0.1582129,0.53094906,0.87361622,0.72859663,1.56E-05,123
3.23E-03,-0.19857025,-0.40221316,0.20147236,-0.98140329,0.52219748,1.56E-05,124
-2.5023537,-0.74282491,-0.89110148,0.28823802,0.35716552,-0.34470484,1.56E-05,125
0.1716679,-0.20261179,0.30631107,-0.28233629,-0.17955221,0.22884735,1.56E-05,126
-0.62628913,-9.80E-02,1.5795006,9.20E-02,0.25623962,0.79428995,1.56E-05,127
-0.23891336,-3.42E-02,-5.91E-02,-5.06E-02,-0.26983842,-0.25836581,1.56E-05,128
1.9145894,1.0455784,-7.14E-02,-4.07E-02,-0.13794596,0.39439976,1.56E-05,129
-0.83611292,-1.3167282,0.94798702,6.02E-02,-6.77E-02,-0.42668644,1.56E-05,130
-3.3531818,-0.11866111,2.3184638,0.15708375,4.37E-02,-0.20048986,1.56E-05,131
-0.24494666,-0.19228551,0.28231224,0.23802032,0.41710365,-4.12E-03,1.56E-05,132
-0.54696089,0.9881627,0.22779979,0.28310573,-6.52E-02,-0.23487251,1.56E-05,133
0.24947169,2.13E-02,-2.53E-03,-0.42722887,-0.87481672,-0.38983026,1.56E-05,134
0.3395555,0.46704614,0.65317905,-0.26825863,-0.74467182,-0.31125399,1.56E-05,135
-1.6968815,-0.26435432,0.69824123,-0.35673681,0.22267723,0.28015506,1.56E-05,136
0.12629747,0.4382529,-0.54654813,0.18565026,-0.51210397,-0.24692997,1.56E-05,137
7.22E-02,-0.12066601,0.1120216,0.25253591,0.24517453,-0.19790755,1.56E-05,138
0.8251552,-0.26424128,-0.58356488,0.11858642,8.01E-02,-8.91E-02,1.56E-05,139
0.12083469,-3.80E-02,-0.24457732,-0.47939411,0.28678212,0.68826872,1.56E-05,140
0.69704491,1.5003377,-0.42464259,0.36225176,0.31704876,-0.1726533,1.56E-05,141
